time,temp
1646931600,44.78
1646935200,46.508
1646938800,47.12
1646942400,47.66
1646946000,47.984
1646949600,47.336
1646953200,46.49
1646956800,45.374
1646960400,44.42
1646964000,42.53
1646967600,39.236
1646971200,35.546
1646974800,33.998
1646978400,33.314
1646982000,31.964
1646985600,31.568
1646989200,30.902
1646992800,30.47
1646996400,30.308
1647000000,32.018
1647003600,41.27
1647007200,46.886
1647010800,52.664
1647014400,57.092
1647018000,59.684
1647021600,61.25
1647025200,62.582
1647028800,63.086
1647032400,61.682
1647036000,58.46
1647039600,54.608
1647043200,51.656
1647046800,49.28
1647050400,49.064
1647054000,46.832
1647057600,45.554
1647061200,44.132
1647064800,43.43
1647068400,44.222
1647072000,45.59
1647075600,41.882
1647079200,35.276
1647082800,32.882
1647086400,31.802
1647090000,29.21
1647093600,28.13
1647097200,27.878
1647100800,28.346
1647104400,27.284
1647108000,25.592
1647111600,25.736
1647115200,25.07
1647118800,23.864
1647122400,21.956
1647126000,20.498
1647133200,19.742
1647136800,19.976
1647140400,19.832
1647144000,19.526
1647147600,18.986
1647151200,18.824
1647154800,18.014
1647158400,17.438
1647162000,16.34
1647165600,14.972
1647169200,13.982
1647172800,13.622
1647176400,18.752
1647180000,23.0
1647183600,25.07
1647187200,27.968
1647190800,30.938
1647194400,33.332
1647198000,35.978
1647201600,39.272
1647205200,41.918
1647208800,42.782
1647212400,42.404
1647216000,40.19
1647219600,36.482
1647223200,35.618
1647226800,32.108
1647230400,29.894
1647234000,29.894
1647237600,29.228
1647241200,27.914
1647244800,26.924
1647248400,26.204
1647252000,26.258
1647255600,25.034
1647259200,25.664
1647262800,33.332
1647266400,40.55
1647270000,47.588
1647273600,51.764
1647277200,54.734
1647280800,57.308
1647284400,59.18
1647288000,60.656
1647291600,60.926
1647295200,60.44
1647298800,58.136
1647302400,50.432
1647306000,43.754
1647309600,40.748
1647313200,37.454
1647316800,36.302
1647320400,35.96
1647324000,35.69
1647327600,35.78
1647331200,33.206
1647334800,31.91
1647338400,30.686
1647342000,31.532
1647345600,31.064
1647349200,38.354
1647352800,50.072
1647356400,57.02
1647360000,62.852
1647363600,64.544
1647367200,66.2
1647370800,67.532
1647374400,67.838
1647378000,67.316
1647381600,65.3
1647385200,62.276
1647388800,58.262
1647392400,50.198
1647396000,45.968
1647399600,43.826
1647403200,41.306
1647406800,40.658
1647410400,38.354
1647414000,37.904
1647417600,36.986
1647421200,34.25
1647424800,33.458
1647428400,33.818
1647432000,31.532
1647435600,35.6
1647439200,43.808
1647442800,54.806
1647446400,62.33
1647450000,65.156
1647453600,66.812
1647457200,68.342
1647460800,67.37
1647464400,65.822
1647468000,64.346
1647471600,61.196
1647475200,58.784
1647478800,56.624
1647482400,55.418
1647486000,53.852
1647489600,52.268
1647493200,50.612
1647496800,50.216
1647500400,49.964
1647504000,49.856
1647507600,49.892
1647511200,49.856
1647514800,49.766
1647518400,49.91
1647522000,50.18
1647525600,51.08
1647529200,52.142
1647532800,52.664
1647536400,53.528
1647540000,55.562
1647543600,58.226
1647547200,61.538
1647550800,61.898
1647554400,61.61
1647558000,59.396
1647561600,56.534
1647565200,51.764
1647568800,49.496
1647572400,46.904
1647576000,46.184
1647579600,45.5
1647583200,44.708
1647586800,43.754
1647590400,42.854
1647594000,41.378
1647597600,40.316
1647601200,38.804
1647604800,39.236
1647608400,42.368
1647612000,49.568
1647615600,63.284
1647619200,65.822
1647622800,69.278
1647626400,69.332
1647630000,70.232
1647633600,69.512
1647637200,68.81
1647640800,68.108
