hour,nodelta,delta,ml_new
1,4.920519586649032,3.564147937629364,5.96901723893488
2,6.268970402060582,5.361313591222448,6.406402109331366
3,6.871280912761006,6.202794128459861,5.920929065922918
4,6.791032305917171,6.278419342135952,4.882292657171833
5,6.405941694073354,5.9451330144250605,4.520945249744841
6,6.322294899728149,6.250153074307177,4.474983588181477
7,6.304739291371992,6.734440674530211,4.365862021540782
8,6.287596092179258,7.174279517659865,4.2767076613450765
9,6.261213921616993,7.55769203579745,4.221729881668552
10,6.273231120517178,7.8901893627957636,4.205630954286179
11,6.297935882757731,8.207350867863406,4.215919748253013
12,6.353398507067694,8.467662401902068,4.16078170481176
13,6.388859170689635,8.598929187301456,4.112752925301192
14,6.399692647947396,8.654378317140788,4.019984411657897
15,6.456978630316071,8.649804789315214,3.937151623213847
16,6.513837214478311,8.55873016872754,3.949025891442584
17,6.52898946282866,8.304096981081177,3.9515451452714836
18,6.567678850156334,8.018566763780878,3.9518788553300874
19,6.611135267053372,7.664839291179489,4.202781588978939
20,6.614048394827647,7.317211565115904,4.216685995371962
21,6.630320635035299,6.933498307546636,4.221901113499584
22,6.672967634601148,6.580797563424653,4.565967491641057
23,6.770021013720553,6.22019862148282,4.7939837903198175
24,6.847590792651818,6.042168101909538,4.8993235247018125
25,6.905376097950773,6.000362294583594,4.769168573108677
26,6.968365136615104,6.134541309397608,4.986016418335599
27,6.985744476246396,6.28807387919223,5.2080822643074764
28,6.982496631478645,6.449948240088127,5.077533814340088
29,6.90640929219026,6.635136674326581,5.019348473967285
30,6.952501490279011,7.050250136215302,4.991567420255983
31,7.084117971221171,7.563729931088554,5.042838663272861
32,7.053116027979587,7.952631765608844,4.942283056428419
33,7.099942943739534,8.326147211741494,4.875681993266475
34,7.188357401553582,8.686737223174953,4.84511840925999
35,7.240276277220146,8.974174662620019,4.825720141599108
36,7.308384960581248,9.24872695061012,4.870383293850839
37,7.38163461556352,9.489391516666108,5.007558240857916
38,7.382771471998325,9.621384769063894,5.017665779235671
39,7.3365116318674835,9.63588230416052,4.953395729716596
40,7.294869149146713,9.461865575665827,4.956749511969343
41,7.2599672279463645,9.158089640258687,4.889412160105041
42,7.226272153582587,8.849001973618673,4.988480196480047
43,7.195631005742369,8.616239779708929,5.187022375294725
44,7.159809876132995,8.249286816807855,5.483712619112164
45,7.184018088824978,7.915748453977345,5.7295573486957725
46,7.173149431261438,7.454936967216247,5.847663035290409
47,7.159080679086576,7.002222760555834,5.969873563157572
